Nairobi Stock Exchange All Share Index | Price History                                          02-Jun-2023 20:00,,,,,,,
,,,,,,,
,,,,,,,
.NASI,,,,,,,
Interval: Daily,,,,,,,
History Period: 01-Apr-2011 - 31-Jul-2020,,,,,,,
,,,,,,,
,,,,,,,
.NASI Statistics     Daily     01-Apr-2011 - 29-Jul-2020,,,,,,,
Price,,,Up/Down,,Price Change (Close-Close),,
High,196.57,05-Apr-2018,Up,1184,Up,+4.11%,12-Oct-2016
Low,65.14,07-Dec-2011,Down,1099,Down,-5.51%,13-Mar-2020
Avg,135.82,,Unch,21,Period,+48.88%,01-Apr-2011 - 29-Jul-2020
,,,,,,,
,,,,,,,
.NASI History     Daily     01-Apr-2011 - 29-Jul-2020,,,,,,,
Exchange Date,Close,Net,%Chg,Open,Low,High,
29-Jul-2020,134.48,-0.32,-0.24%,134.48,134.48,134.48,
28-Jul-2020,134.80,-2.57,-1.87%,134.80,134.80,134.80,
27-Jul-2020,137.37,+2.78,+2.07%,137.37,137.37,137.37,
24-Jul-2020,134.59,+2.15,+1.62%,134.59,134.59,134.59,
23-Jul-2020,132.44,+1.41,+1.08%,132.44,132.44,132.44,
22-Jul-2020,131.03,+0.24,+0.18%,131.03,131.03,131.03,
21-Jul-2020,130.79,-1.43,-1.08%,130.79,130.79,130.79,
20-Jul-2020,132.22,-0.03,-0.02%,132.22,132.22,132.22,
17-Jul-2020,132.25,+0.27,+0.20%,132.25,132.25,132.25,
16-Jul-2020,131.98,+0.08,+0.06%,131.98,131.98,131.98,
15-Jul-2020,131.90,+0.36,+0.27%,131.90,131.90,131.90,
14-Jul-2020,131.54,-1.09,-0.82%,131.54,131.54,131.54,
13-Jul-2020,132.63,+0.25,+0.19%,132.63,132.63,132.63,
10-Jul-2020,132.38,-0.13,-0.10%,132.38,132.38,132.38,
09-Jul-2020,132.51,-1.89,-1.41%,132.51,132.51,132.51,
08-Jul-2020,134.40,-0.74,-0.55%,134.40,134.40,134.40,
07-Jul-2020,135.14,-2.85,-2.07%,135.14,135.14,135.14,
06-Jul-2020,137.99,-1.58,-1.13%,137.99,137.99,137.99,
03-Jul-2020,139.57,+1.80,+1.31%,139.57,139.57,139.57,
02-Jul-2020,137.77,+0.04,+0.03%,137.77,137.77,137.77,
01-Jul-2020,137.73,+0.05,+0.04%,137.73,137.73,137.73,
30-Jun-2020,137.68,-1.11,-0.80%,137.68,137.68,137.68,
29-Jun-2020,138.79,+1.04,+0.75%,138.79,138.79,138.79,
26-Jun-2020,137.75,+0.19,+0.14%,137.75,137.75,137.75,
25-Jun-2020,137.56,-0.90,-0.65%,137.56,137.56,137.56,
24-Jun-2020,138.46,-2.01,-1.43%,138.46,138.46,138.46,
23-Jun-2020,140.47,-2.07,-1.45%,140.47,140.47,140.47,
22-Jun-2020,142.54,-2.04,-1.41%,142.54,142.54,142.54,
19-Jun-2020,144.58,-0.34,-0.23%,144.58,144.58,144.58,
18-Jun-2020,144.92,+0.02,+0.01%,144.92,144.92,144.92,
17-Jun-2020,144.90,+0.16,+0.11%,144.90,144.90,144.90,
16-Jun-2020,144.74,+1.49,+1.04%,144.74,144.74,144.74,
15-Jun-2020,143.25,+0.37,+0.26%,143.25,143.25,143.25,
12-Jun-2020,142.88,+0.10,+0.07%,142.88,142.88,142.88,
11-Jun-2020,142.78,+1.74,+1.23%,142.78,142.78,142.78,
10-Jun-2020,141.04,+0.96,+0.69%,141.04,141.04,141.04,
09-Jun-2020,140.08,-0.66,-0.47%,140.08,140.08,140.08,
08-Jun-2020,140.74,+1.56,+1.12%,140.74,140.74,140.74,
